dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: unit210-2022-274-6-0
the8x3_filename: 06620000
filename_extension: sbd
filename_label: unit210-2022-274-6-0-sbd(06620000)
mission_name: IMOSGO40.MI
fileopen_time: Sun_Oct__2_23:41:41_2022
sensors_per_cycle: 16
num_label_lines: 3
num_segments: 1
segment_filename_0: unit210-2022-274-6-0
c_ballast_pumped c_battpos c_fin c_heading c_pitch m_ballast_pumped m_battpos m_depth m_fin m_gps_lat m_gps_lon m_heading m_pitch m_present_time m_roll m_water_depth
cc in rad rad rad cc in m rad lat lon rad rad timestamp rad m
4 4 4 4 4 4 4 4 4 8 8 4 4 8 4 4
233 -0.189008 0.007754 1.64811 0.4538 232.022 -0.177333 23.5863 0.0125577 NaN NaN 1.79071 0.44855 1664755115.04553 -0.0453786 NaN
NaN NaN NaN NaN NaN NaN NaN 21.6231 NaN NaN NaN NaN NaN 1664755129.08063 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 19.3483 NaN NaN NaN NaN NaN 1664755143.09897 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 17.2916 NaN NaN NaN NaN NaN 1664755157.12112 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 15.2038 NaN NaN NaN NaN NaN 1664755171.1441 NaN NaN
233 -0.189008 0.00738615 1.64806 0.4538 232.022 -0.176128 NaN 0.0125577 NaN NaN 1.68948 0.424115 1664755175.89594 -0.0436332 NaN
NaN NaN NaN NaN NaN NaN NaN 12.8667 NaN NaN NaN NaN NaN 1664755185.2785 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 10.5919 NaN NaN NaN NaN NaN 1664755199.31784 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 8.25473 NaN NaN NaN NaN NaN 1664755213.32687 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 6.04225 NaN NaN NaN NaN NaN 1664755227.36038 NaN NaN
233 -0.189008 0.155715 1.64808 0.4538 232.646 -0.176128 NaN 0.150692 NaN NaN 1.60919 0.469494 1664755236.74039 -0.0366519 NaN
NaN NaN NaN NaN NaN NaN NaN 3.58048 NaN NaN NaN NaN NaN 1664755241.48615 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 2.64563 NaN NaN NaN NaN NaN 1664755256.77899 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 4.39068 NaN NaN NaN NaN NaN 1664755271.82526 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 6.75897 NaN NaN NaN NaN NaN 1664755286.28116 NaN NaN
-233 0.796976 -0.0576637 1.64803 -0.4538 -231.972 0.722897 9.18959 -0.0910432 NaN NaN 1.77151 -0.383972 1664755300.32361 -0.0453786 NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1664755305.07288 NaN 33.0063
NaN NaN NaN NaN NaN NaN NaN 11.8383 NaN NaN NaN NaN NaN 1664755314.47095 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 14.6117 NaN NaN NaN NaN NaN 1664755328.4902 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 17.1981 NaN NaN NaN NaN NaN 1664755342.51492 NaN NaN
NaN NaN NaN NaN NaN NaN NaN 19.8469 NaN NaN NaN NaN NaN 1664755356.55383 NaN NaN
